Start	Duration	Audio I/O Thread	Client Process	Input Sample Time	Input Host Time	Output Sample Time	Output Host Time	
00:02.554.747	98.83 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	2,788	6488823586724	4,836	6488824701281	
00:02.577.923	35.62 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	3,812	6488824144003	5,860	6488825258560	
00:02.601.165	48.71 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	4,836	6488824701281	6,884	6488825815839	
00:02.624.376	39.58 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	5,860	6488825258560	7,908	6488826373117	
00:02.647.588	39.00 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	6,884	6488825815839	8,932	6488826930396	
00:02.670.796	28.17 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	7,908	6488826373117	9,956	6488827487675	
00:02.694.027	37.83 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	8,932	6488826930396	10,980	6488828044953	
00:02.717.265	43.71 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	9,956	6488827487675	12,004	6488828602232	
00:02.740.471	38.29 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	10,980	6488828044953	13,028	6488829159511	
00:02.763.678	28.79 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	12,004	6488828602232	14,052	6488829716789	
00:02.786.905	34.88 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	13,028	6488829159511	15,076	6488830274068	
00:02.810.121	37.17 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	14,052	6488829716789	16,100	6488830831347	
00:02.833.345	34.75 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	15,076	6488830274068	17,124	6488831388625	
00:02.856.568	38.33 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	16,100	6488830831347	18,148	6488831945904	
00:02.879.803	54.88 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	17,124	6488831388625	19,172	6488832503182	
00:02.903.053	67.83 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	18,148	6488831945904	20,196	6488833060461	
00:02.926.227	41.33 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	19,172	6488832503182	21,220	6488833617740	
00:02.949.444	38.38 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	20,196	6488833060461	22,244	6488834175018	
00:02.972.669	37.58 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	21,220	6488833617740	23,268	6488834732297	
00:02.995.894	39.75 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	22,244	6488834175018	24,292	6488835289576	
00:03.019.118	47.62 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	23,268	6488834732297	25,316	6488835846854	
00:03.042.357	55.17 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	24,292	6488835289576	26,340	6488836404133	
00:03.065.560	60.92 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	25,316	6488835846854	27,364	6488836961412	
00:03.088.782	59.92 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	26,340	6488836404133	28,388	6488837518690	
00:03.111.999	58.21 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	27,364	6488836961412	29,412	6488838075969	
00:03.135.220	53.12 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	28,388	6488837518690	30,436	6488838633247	
00:03.158.456	54.71 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	29,412	6488838075969	31,460	6488839190526	
00:03.181.653	63.04 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	30,436	6488838633247	32,484	6488839747805	
00:03.204.889	55.42 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	31,460	6488839190526	33,508	6488840305083	
00:03.228.082	32.96 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	32,484	6488839747805	34,532	6488840862362	
00:03.251.304	35.04 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	33,508	6488840305083	35,556	6488841419641	
00:03.274.526	34.04 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	34,532	6488840862362	36,580	6488841976919	
00:03.297.761	52.71 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	35,556	6488841419641	37,604	6488842534198	
00:03.320.990	56.75 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	36,580	6488841976919	38,628	6488843091477	
00:03.344.181	32.04 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	37,604	6488842534198	39,652	6488843648755	
00:03.367.397	31.12 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	38,628	6488843091477	40,676	6488844206034	
00:03.390.610	31.62 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	39,652	6488843648755	41,700	6488844763313	
00:03.413.855	55.83 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	40,676	6488844206034	42,724	6488845320591	
00:03.437.073	45.29 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	41,700	6488844763313	43,748	6488845877870	
00:03.460.309	56.83 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	42,724	6488845320591	44,772	6488846435148	
00:03.483.515	60.42 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	43,748	6488845877870	45,796	6488846992427	
00:03.506.735	53.12 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	44,772	6488846435148	46,820	6488847549706	
00:03.529.929	22.92 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	45,796	6488846992427	47,844	6488848106984	
00:03.553.166	42.42 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	46,820	6488847549706	48,868	6488848664263	
00:03.576.379	36.67 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	47,844	6488848106984	49,892	6488849221542	
00:03.599.618	47.33 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	48,868	6488848664263	50,916	6488849778820	
00:03.622.884	57.04 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	49,892	6488849221542	51,940	6488850336099	
00:03.646.051	37.75 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	50,916	6488849778820	52,964	6488850893378	
00:03.669.270	37.04 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	51,940	6488850336099	53,988	6488851450656	
00:03.692.500	51.58 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	52,964	6488850893378	55,012	6488852007935	
00:03.715.714	60.75 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	53,988	6488851450656	56,036	6488852565214	
00:03.738.919	61.88 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	55,012	6488852007935	57,060	6488853122492	
00:03.762.169	51.71 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	56,036	6488852565214	58,084	6488853679771	
00:03.785.375	39.71 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	57,060	6488853122492	59,108	6488854237049	
00:03.808.594	131.67 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	58,084	6488853679771	60,132	6488854794328	
00:03.831.810	215.92 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	59,108	6488854237049	61,156	6488855351607	
00:03.855.037	160.71 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	60,132	6488854794328	62,180	6488855908885	
00:03.878.242	180.92 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	61,156	6488855351607	63,204	6488856466164	
00:03.901.471	110.67 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	62,180	6488855908885	64,228	6488857023443	
00:03.924.678	181.46 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	63,204	6488856466164	65,252	6488857580721	
00:03.947.896	170.46 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	64,228	6488857023443	66,276	6488858138000	
00:03.971.116	209.88 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	65,252	6488857580721	67,300	6488858695279	
00:03.994.331	170.92 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	66,276	6488858138000	68,324	6488859252557	
00:04.017.558	167.08 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	67,300	6488858695279	69,348	6488859809836	
00:04.040.771	164.58 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	68,324	6488859252557	70,372	6488860367115	
00:04.064.001	174.79 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	69,348	6488859809836	71,396	6488860924393	
00:04.087.227	173.38 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	70,372	6488860367115	72,420	6488861481672	
00:04.110.453	184.62 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	71,396	6488860924393	73,444	6488862038950	
00:04.133.673	185.83 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	72,420	6488861481672	74,468	6488862596229	
00:04.156.886	190.88 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	73,444	6488862038950	75,492	6488863153508	
00:04.180.101	175.38 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	74,468	6488862596229	76,516	6488863710786	
00:04.203.319	164.50 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	75,492	6488863153508	77,540	6488864268065	
00:04.226.555	188.38 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	76,516	6488863710786	78,564	6488864825344	
00:04.249.770	182.25 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	77,540	6488864268065	79,588	6488865382622	
00:04.272.999	190.17 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	78,564	6488864825344	80,612	6488865939901	
00:04.296.200	180.88 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	79,588	6488865382622	81,636	6488866497180	
00:04.319.418	194.21 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	80,612	6488865939901	82,660	6488867054458	
00:04.342.661	200.38 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	81,636	6488866497180	83,684	6488867611737	
00:04.365.866	179.00 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	82,660	6488867054458	84,708	6488868169015	
00:04.389.086	200.83 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	83,684	6488867611737	85,732	6488868726294	
00:04.412.311	241.12 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	84,708	6488868169015	86,756	6488869283573	
00:04.435.522	173.83 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	85,732	6488868726294	87,780	6488869840851	
00:04.458.753	128.62 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	86,756	6488869283573	88,804	6488870398130	
00:04.481.986	104.79 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	87,780	6488869840851	89,828	6488870955409	
00:04.505.211	199.92 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	88,804	6488870398130	90,852	6488871512687	
00:04.528.398	136.46 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	89,828	6488870955409	91,876	6488872069966	
00:04.551.634	190.58 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	90,852	6488871512687	92,900	6488872627245	
00:04.574.893	247.92 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	91,876	6488872069966	93,924	6488873184523	
00:04.598.091	257.04 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	92,900	6488872627245	94,948	6488873741802	
00:04.621.286	134.33 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	93,924	6488873184523	95,972	6488874299081	
00:04.644.533	209.25 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	94,948	6488873741802	96,996	6488874856359	
00:04.667.756	290.75 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	95,972	6488874299081	98,020	6488875413638	
00:04.690.965	194.54 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	96,996	6488874856359	99,044	6488875970916	
00:04.714.187	182.79 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	98,020	6488875413638	100,068	6488876528195	
00:04.737.401	210.92 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	99,044	6488875970916	101,092	6488877085474	
00:04.760.608	169.83 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	100,068	6488876528195	102,116	6488877642752	
00:04.783.817	176.96 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	101,092	6488877085474	103,140	6488878200031	
00:04.807.031	168.54 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	102,116	6488877642752	104,164	6488878757310	
00:04.830.268	194.83 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	103,140	6488878200031	105,188	6488879314588	
00:04.853.489	202.67 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	104,164	6488878757310	106,212	6488879871867	
00:04.876.702	179.12 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	105,188	6488879314588	107,236	6488880429146	
00:04.899.918	192.38 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	106,212	6488879871867	108,260	6488880986424	
00:04.923.146	218.21 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	107,236	6488880429146	109,284	6488881543703	
00:04.946.368	177.50 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	108,260	6488880986424	110,308	6488882100982	
